user_id,days,steps_tried,correct,wrong,correct_ratio,viewed
2,1.0,2.0,2.0,0.0,1.0,10
3,1.0,4.0,4.0,4.0,0.5,192
5,1.0,2.0,2.0,2.0,0.5,12
8,1.0,11.0,9.0,21.0,0.3,156
14,1.0,1.0,0.0,1.0,0.0,9
16,3.0,23.0,23.0,27.0,0.46,651
17,1.0,1.0,0.0,2.0,0.0,13
22,3.0,20.0,20.0,11.0,0.6451612903225806,492
26,1.0,7.0,7.0,16.0,0.30434782608695654,32
30,1.0,2.0,2.0,0.0,1.0,512
31,2.0,6.0,4.0,5.0,0.4444444444444444,34
34,2.0,9.0,9.0,4.0,0.6923076923076923,1013
37,1.0,1.0,1.0,0.0,1.0,15
39,1.0,2.0,2.0,0.0,1.0,1160
43,2.0,6.0,6.0,3.0,0.6666666666666666,206
44,1.0,2.0,2.0,0.0,1.0,16
46,1.0,8.0,8.0,2.0,0.8,78
49,1.0,2.0,2.0,0.0,1.0,77
50,1.0,2.0,2.0,0.0,1.0,92
54,1.0,2.0,2.0,0.0,1.0,90
60,2.0,12.0,12.0,0.0,1.0,276
63,1.0,8.0,8.0,3.0,0.7272727272727273,23
66,2.0,7.0,8.0,1.0,0.8888888888888888,596
67,2.0,15.0,15.0,27.0,0.35714285714285715,241
68,1.0,2.0,2.0,2.0,0.5,24
70,1.0,2.0,2.0,0.0,1.0,106
73,1.0,2.0,2.0,0.0,1.0,412
75,1.0,2.0,2.0,0.0,1.0,148
76,1.0,2.0,2.0,1.0,0.6666666666666666,143
80,2.0,18.0,18.0,3.0,0.8571428571428571,393
87,1.0,2.0,2.0,1.0,0.6666666666666666,426
89,2.0,8.0,8.0,3.0,0.7272727272727273,221
91,4.0,13.0,13.0,16.0,0.4482758620689655,112
94,1.0,2.0,2.0,0.0,1.0,237
95,1.0,6.0,5.0,4.0,0.5555555555555556,26
96,1.0,2.0,2.0,0.0,1.0,14
97,1.0,2.0,2.0,3.0,0.4,16
100,1.0,9.0,9.0,5.0,0.6428571428571429,42
101,1.0,2.0,2.0,0.0,1.0,7
104,1.0,2.0,2.0,0.0,1.0,129
108,1.0,2.0,2.0,0.0,1.0,20
111,1.0,8.0,9.0,10.0,0.47368421052631576,403
115,1.0,7.0,8.0,1.0,0.8888888888888888,122
118,1.0,2.0,2.0,1.0,0.6666666666666666,25
120,1.0,2.0,2.0,0.0,1.0,10
121,1.0,2.0,4.0,0.0,1.0,67
127,2.0,8.0,7.0,7.0,0.5,57
129,1.0,2.0,2.0,0.0,1.0,120
130,1.0,2.0,2.0,0.0,1.0,17
133,1.0,8.0,6.0,24.0,0.2,40
138,3.0,10.0,10.0,9.0,0.5263157894736842,128
144,1.0,2.0,2.0,0.0,1.0,12
145,3.0,14.0,15.0,16.0,0.4838709677419355,212
148,1.0,6.0,6.0,2.0,0.75,96
149,2.0,13.0,13.0,2.0,0.8666666666666667,382
152,1.0,2.0,2.0,2.0,0.5,12
157,2.0,13.0,15.0,8.0,0.6521739130434783,915
166,2.0,8.0,10.0,7.0,0.5882352941176471,665
169,1.0,1.0,1.0,0.0,1.0,169
171,2.0,2.0,1.0,9.0,0.1,16
175,1.0,2.0,3.0,0.0,1.0,35
176,1.0,2.0,2.0,0.0,1.0,8
178,3.0,29.0,29.0,11.0,0.725,333
179,1.0,1.0,1.0,0.0,1.0,2
183,3.0,27.0,27.0,23.0,0.54,136
184,1.0,2.0,2.0,0.0,1.0,13
187,1.0,2.0,2.0,1.0,0.6666666666666666,29
192,1.0,2.0,3.0,0.0,1.0,6
196,1.0,2.0,2.0,0.0,1.0,35
197,1.0,10.0,9.0,27.0,0.25,62
202,3.0,72.0,75.0,103.0,0.42134831460674155,368
214,1.0,1.0,1.0,0.0,1.0,701
215,2.0,15.0,15.0,6.0,0.7142857142857143,46
219,1.0,2.0,2.0,0.0,1.0,27
220,2.0,5.0,5.0,2.0,0.7142857142857143,490
223,1.0,2.0,2.0,0.0,1.0,10
225,1.0,3.0,3.0,0.0,1.0,33
226,1.0,28.0,26.0,23.0,0.5306122448979592,393
227,4.0,16.0,14.0,16.0,0.4666666666666667,364
229,4.0,16.0,16.0,10.0,0.6153846153846154,120
230,1.0,2.0,2.0,0.0,1.0,508
231,2.0,28.0,28.0,13.0,0.6829268292682927,97
232,1.0,2.0,2.0,0.0,1.0,46
239,2.0,6.0,6.0,0.0,1.0,27
240,1.0,5.0,5.0,6.0,0.45454545454545453,35
243,1.0,2.0,2.0,0.0,1.0,66
246,1.0,2.0,2.0,0.0,1.0,425
250,3.0,12.0,12.0,33.0,0.26666666666666666,64
251,2.0,36.0,37.0,18.0,0.6727272727272727,131
255,1.0,2.0,2.0,0.0,1.0,18
258,1.0,1.0,1.0,0.0,1.0,4
259,1.0,1.0,1.0,0.0,1.0,13
263,4.0,19.0,19.0,5.0,0.7916666666666666,64
275,3.0,10.0,10.0,18.0,0.35714285714285715,582
277,1.0,2.0,2.0,0.0,1.0,19
279,2.0,5.0,5.0,0.0,1.0,416
282,1.0,2.0,2.0,0.0,1.0,22
284,3.0,16.0,16.0,5.0,0.7619047619047619,387
290,1.0,2.0,2.0,0.0,1.0,44
294,1.0,2.0,2.0,0.0,1.0,119
296,1.0,2.0,2.0,0.0,1.0,254
297,1.0,2.0,3.0,1.0,0.75,29
299,2.0,16.0,15.0,15.0,0.5,84
302,1.0,2.0,2.0,0.0,1.0,44
307,1.0,1.0,1.0,0.0,1.0,4
313,2.0,2.0,2.0,0.0,1.0,34
316,2.0,9.0,9.0,7.0,0.5625,59
321,3.0,19.0,19.0,15.0,0.5588235294117647,454
322,1.0,4.0,4.0,9.0,0.3076923076923077,37
323,2.0,9.0,6.0,36.0,0.14285714285714285,52
330,1.0,1.0,1.0,0.0,1.0,7
332,1.0,9.0,9.0,1.0,0.9,76
334,2.0,7.0,7.0,11.0,0.3888888888888889,36
336,2.0,29.0,30.0,22.0,0.5769230769230769,163
340,1.0,1.0,1.0,0.0,1.0,13
345,1.0,2.0,1.0,5.0,0.16666666666666666,17
350,2.0,12.0,11.0,26.0,0.2972972972972973,54
353,2.0,6.0,6.0,6.0,0.5,37
356,2.0,10.0,9.0,11.0,0.45,57
357,1.0,2.0,2.0,2.0,0.5,12
361,2.0,9.0,10.0,19.0,0.3448275862068966,131
368,1.0,2.0,2.0,0.0,1.0,18
369,4.0,27.0,25.0,62.0,0.28735632183908044,420
379,2.0,17.0,17.0,21.0,0.4473684210526316,173
383,2.0,9.0,10.0,7.0,0.5882352941176471,1017
385,1.0,6.0,3.0,13.0,0.1875,37
387,2.0,9.0,9.0,7.0,0.5625,60
394,1.0,2.0,2.0,1.0,0.6666666666666666,14
395,3.0,8.0,8.0,8.0,0.5,291
397,1.0,2.0,2.0,0.0,1.0,20
399,1.0,3.0,3.0,0.0,1.0,476
404,1.0,1.0,0.0,1.0,0.0,48
407,2.0,14.0,14.0,14.0,0.5,497
410,1.0,3.0,2.0,2.0,0.5,329
412,1.0,2.0,2.0,0.0,1.0,20
413,1.0,5.0,5.0,0.0,1.0,59
420,2.0,11.0,10.0,7.0,0.5882352941176471,64
422,4.0,18.0,17.0,38.0,0.3090909090909091,565
427,1.0,7.0,7.0,1.0,0.875,22
428,3.0,4.0,3.0,12.0,0.2,138
432,1.0,2.0,2.0,0.0,1.0,11
433,1.0,1.0,1.0,1.0,0.5,5
434,2.0,4.0,4.0,11.0,0.26666666666666666,47
