бНЯЯРЮМНБХРЭ ОПНОСЫЕММШЕ ГМЮВЕМХЪ;;;;;;;
мюгбюмхе;1_пеия;2_пеия;3_пеия;4_пеия ;;;
28-29-ъ кхмхх;12:14:10;12:29:00;12:44:00;12:59:00;;;
22-23-ъ кхмхх;12:15:40;12:29:50;12:45:10;13:00:10;;;
лсгеи цнпндяйнцн рпюмяонпрю;12:17:20;12:32:10;12:47:40;13:02:20;;;
12-13-ъ кхмхх;12:19:00;12:34:10;12:49:30;13:04:10;;;
"лерпн ""бюяхкенярпнбяйюъ""";12:21:30;12:36:40;12:51:30;13:06:30;0:02:30;0:02:30;0:02:00
1-ъ х йюдеряйюъ кхмхх;12:22:50;12:38:20;12:53:00;13:08:00;0:01:20;0:01:40;0:01:30
"1-ъ х йюдеряйюъ кхмхх. лерпн ""яонпрхбмюъ""";12:24:00;12:39:20;12:54:20;13:09:10;0:01:10;0:01:00;0:01:20
"лерпн ""яонпрхбмюъ""";12:25:40;12:40:40;12:55:50;13:10:40;0:01:40;0:01:20;0:01:30
йпнмбепйяйхи опняоейр;12:27:30;12:42:20;12:57:20;13:12:20;0:01:50;0:01:40;0:01:30
гбепхмяйюъ ск.;12:29:10;12:44:10;12:59:20;13:14:10;;;
ббедемяйюъ ск.;12:31:00;12:46:00;13:01:10;13:16:00;;;
яшрмши пшмнй;12:32:20;12:47:30;13:02:50;13:17:30;;;
"лерпн ""цнпэйнбяйюъ""";12:33:30;12:49:00;13:04:10;13:18:50;;;
рпнхжйюъ ок. о.я.;12:35:10;12:50:20;13:05:40;13:20:20;;;
скхжю вюоюебю;12:36:20;12:51:20;13:06:30;13:21:20;;;
