views_reg_text,data
"25 RU Уважаемые студенты и преподаватели!  Весенний семестр в 2019/2020 учебном году начинается по следующему графику: 04 февраля 2020 —  для 2 курса магистратуры и всех студентов ХБК. 05 февраля 2020 —  для обучающихся 1- 4 курса бакалавриата, 1 — 5 курса специалитета и 1 курса магистратуры (кроме студентов ХБК). Календарный учебный график доступен по ссылке.  Первая неделя семестра - нечетная.  Занятия по дисциплинам элективного модуля по группе направлений, дисциплине «Техники публичных выступлений, переговоров и презентаций. Деловая коммуникация» для обучающихся 2 курса бакалавриата всех факультетов (кроме ИТиП) и дисциплинам элективного модуля по группе направлений для обучающихся факультета ИКТ и Института международного развития и партнёрства начнутся со второй недели весеннего семестра.  При возникновении вопросов Вы можете обратиться к зам. начальника УПиРОП Александру Владимировичу Пирогову pirogov@itmo.ru",Опубликовано: Сегодня в 11:42 Раздел: Образование Опубликовал: Пирогов А.В. Подразделение: управление проектирования и реализации образовательных программ Теги: образование
"19 RU Уважаемые коллеги, участники хора. Репетиция нашего хора состоится 4-го февраля, во вторник в 18-30 в  в корпусе на Ломоносова, в а.1329 (над столовой). Наш хормейстер, Анна Вячеславовна, проведёт занятие: распевка, разучивание муз. произведения. Начнём не с самого сложного. Наши голоса стремятся к пению. Приходите. Присоединяйтесь. Ирина Третьякова +7 (905) 219 9207 tretyakova-ia@mail.ru ",Опубликовано: Сегодня в 10:21 Раздел: Разное Опубликовала: Третьякова И.А. Подразделение: факультет технологического менеджмента и инноваций Теги: Досуг ДосугМузыкаХоровое пениеХоровое пение Досуг
"28 RU Уважаемые аспиранты 2 года обучения!  Экзамен по дисциплине Особенности количественного описания эксперимента в промышленной экологии и биотехнологии (19.06.01) состоится 3 февраля в 10:00, в 12:00 и в 14:00, ауд. 2120, ул.Ломоносова 9  P.S. С собой желательно иметь ноутбук для решения экзаменационного билета.",Опубликовано: 30.01.2020 Раздел: Образование Опубликовала: Грачева М.В. Подразделение: отдел международной аспирантуры и докторантуры Теги: 19.06.012 курсОсобенности количественного описания эксперимента в промышленной экологии и биотехнологииаспирантураэкзамен
"91 RU Уважаемые аспиранты СУиР!  Напоминаем Вам, что факультетская аттестация СУиР состоится:  - 3 и 4 февраля с 10:00 в ауд. 564, Кронверкский пр., д.49 Специальности: 05.02.05 - Роботы, мехатроника и робототехнические системы 05.02.18 - Теория механизмов и машин 05.13.01 - Системный анализ, управление и обработка информации (технические системы) 05.13.05 - Элементы и устройства вычислительной техники и систем управления  - 3 и 4 февраля с 10:00 ауд. 19/7, Кронверкский пр. д.49 Специальности: 01.02.01 - Теоретическая механика 01.04.02 - Теоретическая физика 05.11.01 - Приборы и методы измерения (по видам измерений) 05.11.03 - Приборы навигации 05.11.07 - Оптические и оптико-электронные приборы и комплексы 05.11.13 - Приборы и методы контроля природной среды, веществ, материалов и изделий 05.11.14 - Технология приборостроения 05.13.06 - Автоматизация и управление технологическими процессами и производствами (по отраслям) 05.13.12 - Системы автоматизации проектирования (по отраслям) 05.13.18 - Математическое моделирование, численные методы и комплексы программ",Опубликовано: 30.01.2020 Раздел: Образование Опубликовала: Грачева М.В. Подразделение: отдел международной аспирантуры и докторантуры Теги: Факультетская аттестацияаспирантурасуир
"23 RU Уважаемые аспиранты ФПО!  Напоминаем Вам, что факультетская аттестация ФПО состоится:  - 4 февраля (2 курс) с 10:00 и с 14:00, ауд. 311, пер. Гривцова 14 («Овальный зал»)  - 6 февраля (3 и 4 курс) с 10:00 и с 14:00, ауд. 311, пер. Гривцова 14 («Овальный зал»)  - 10 февраля (1 курс) с 10:00 и с 14:00, ауд. 311, пер. Гривцова 14 («Овальный зал»)  Распределение аспирантов по времени: http://bit.ly/fpoattest  Контактное лицо: Антон Андреевич Мараев aamaraev@itmo.ru",Опубликовано: 30.01.2020 Раздел: Образование Опубликовала: Грачева М.В. Подразделение: отдел международной аспирантуры и докторантуры Теги: Факультетская аттестацияаспирантурафпо
"299 RU  Из-за распространения нового коронавируса Минздрав России разработал рекомендации по профилактике, диагностике и лечению пневмонии, вызванной вирусом. Среди мер предосторожностей Минздрав выделяет: при планировании зарубежных поездок необходимо уточнять эпидемиологическую ситуацию; не посещайте за рубежом рынки, где продаются животные, морепродукты; употребляйте только термически обработанную пищу, бутилированную воду; не посещайте зоопарки, культурно-массовые мероприятия с привлечением животных; используйте средства защиты органов дыхания (маски); мойте руки после посещения мест массового скопления людей и перед приемом пищи; при первых признаках заболевания, обращайтесь за медицинской помощью в лечебные организации, не допускайте самолечения; при обращении за медицинской помощью на территории Российской Федерации информируйте медицинский персонал о времени и месте пребывания в КНР.",Опубликовано: 30.01.2020 Раздел: Разное Опубликовала: Мирошниченко Е.М. Подразделение: студенческий офис
2 RU 13 февраля 2020г в 12.00   аудитория 579 назначен  экзамен для магистров групп L4171 и L4174  19 марта 2020 г в 12.00  повторный экзамен для магистров.,Опубликовано: 30.01.2020 Раздел: Разное Опубликовал: Мешковский И.К. Подразделение: факультет лазерной фотоники и оптоэлектроники
"47 EN In the first week of this Winter semester, we will tell you everything you need to know about the semester exchange, short-term academic mobility programs, foreign languages training center, and Study Abroad at Home program. How can you go abroad for a semester? How to get co-financing for your short-term mobility program? How and where can you learn foreign languages? Come to our presentation and find out more.   When: February 10, 2020, at 19:30 Where: Lomonosova St. 9, room 3220   Please register here: https://docs.google.com/forms/d/e/1FAIpQLSc8PNvK2coaqadGH3yZiechlNDZeq37WHmL1SHl1IbQGUvCoA/viewform   P.S. If you won’t be able to attend this event but want to receive our presentation, please register for the event and we will include you in the follow-up newsletter.",Опубликовано: 30.01.2020 Раздел: Международная деятельность Опубликовала: Ващенко О.С. Подразделение: отдел международных образовательных программ
"276 RU На первой учебной неделе нового семестра мы расскажем всё, что нужно знать о семестровом обмене, краткосрочных программах академической мобильности, иностранных языках, Buddy System, а также Study Abroad at Home. Как поехать за границу на целый семестр? Как получить софинансирование поездки? Как стать лучшим другом студента-иностранца? Как повысить уровень английского языка прямо в стенах Университета ИТМО? Приходите на встречу, и Вы всё узнаете!  Когда: 6 февраля 2020 г. в 18:00  Где: ул. Ломоносова 9, Актовый зал Регистрация: https://docs.google.com/forms/d/e/1FAIpQLSc8PNvK2coaqadGH3yZiechlNDZeq37WHmL1SHl1IbQGUvCoA/viewform   Больше информации в нашей группе ВК. P.S. Если Вы не сможете прийти на встречу, но хотите получить информационную презентацию, регистрируйтесь на мероприятие, и мы включим Вас в follow-up рассылку.  ",Опубликовано: 30.01.2020 Раздел: Международная деятельность Опубликовала: Ващенко О.С. Подразделение: отдел международных образовательных программ
"64 RU Модульная факультативная дисциплина для магистров 1 курса Института БиоИнженерии ""Введение в структурную биоинформатику"".  Результаты освоения данной дисциплины могут быть занесены в диплом. Дисциплина объемом 3 з.е. Преподаватель: Андрей Вилхович Каява, профессор, PhD, химические науки, Centre de Recherche en Biochimie Macromoleculaire (France) Дисциплина реализовывается на базе Института БиоИнженерии с 10 по 28 февраля 2020 года. Предварительная запись обязательна. Всем записавшимся на курс перед началом занятий будет выслано расписание и учебное пособие по дисциплине.  ФОРМА ДЛЯ ЗАПИСИ",Опубликовано: 29.01.2020 Раздел: Образование Опубликовала: Шекланова Е.Б. Подразделение: Международный научно-исследовательский институт биоинженерии
