date,text
30.01.2020,"Первые новости с недели Digital Humanities💡 
 
В Университете ИТМО выступил физик и математик Иван Ямщиков. Он рассказал, как алгоритмы и анализ данных работают в гуманитарных исследованиях. 
 
Для тех, кто не смог прийти, журналисты ITMO.NEWS записали главное."
29.01.2020,"Учиться за границей просто. Надо всего лишь подать заявку на конкурс академической мобильности Университета ИТМО ☺

Если ты знаешь английский и у тебя активная жизненная позиция, то ты можешь бесплатно проучиться семестр в зарубежном вузе. 

Подробнее про программу семестрового обмена здесь: vk.cc/aiJFCO"
29.01.2020,"В научном центре [club113710324|SCAMT] завершилась зимняя школа SCAMT Workshop Week. 
 
Почитайте, как студенты синтезировали металлорганические каркасы, печатали 3D-модели из живых клеток и проводили другие исследования."
28.01.2020,"Спортсменка, студентка и просто красавица [id327790230|Екатерина Гиоргобиани] в фотосессии для календаря #KRONBARS2020😊"
28.01.2020,"[club75204122|Акселератор ИТМО] помогает не только студентам, но и состоявшимся ученым👆🏻 
 
Если у тебя есть технология, но нет желания заниматься бизнесом, то для тебя существует специальная программа. Там помогут найти инвесторов, партнеров и монетизировать идею. 
 
Первая инвестиционная сессия пройдёт в феврале. Регистрация здесь: vk.cc/aip8Mr"
27.01.2020,Коэффициент милоты этого фото просто зашкаливает😊
27.01.2020,"C 27 по 31 января в Университете ИТМО неделя [club171987344|Digital Humanities ] – исследований на стыке цифровых и гуманитарных наук 🖥📖 
 
Эксперты будут делиться опытом в междисциплинарных исследованиях на дискуссиях, лекциях и воркшопах. 
 
Вход на все мероприятия свободный, нужно только зарегистрироваться. Программа и все подробности здесь:"
26.01.2020,День открытых дверей Университета ИТМО в прямом эфире. Поступай правильно😉
25.01.2020,"Всех студентов с праздником! 🎉

Как прошла твоя сессия?"
25.01.2020,"10 февраля начинается зимняя школа «Тебе решать!». Четыре дня лекций, мастер-классов, экскурсий в крупные компании и, конечно, работа в команде над крутыми проектами. 

Посмотрите, как зимняя школа прошла в прошлом году. 

Генеральный партнёр – [club22522055|Сбербанк] ."
24.01.2020,Такой разный Университет ИТМО
24.01.2020,"Ученые Университета ИТМО разработали новый способ борьбы с тромбами. Доклинические испытания уже завершены в Мариинской больнице. Почитайте, как работает препарат и когда его начнут применять на практике."
23.01.2020,Comeback года! Мы очень ждали снег ❄ А ты?
23.01.2020,"В [club75204122|Акселераторе ИТМО] обсудят опыт строительства умных городов в Японии на семинаре ""Общество 5.0 и Умный город: лучшие практики Японии"". 

Спикер - старший советник директора по информатизации и информационным технологиям (CIO) канцелярии Кабинета министров Японии Тосиюки Замма. 

Начинаем 29 января в 16:00 в конференц-зале на Биржевой линии 4. 
Вход бесплатный, но надо зарегистрироваться: vk.cc/ahjGor"
23.01.2020,"Конкурс ""Мистер и Мисс ИТМО"" возвращается 🔥 
 
Правила игры не меняются: 2 формата отбора: дистанционный и личный. 
 
Все подробности в группе: vk.com/casting_misster_itmo 
 
Не тормози, регистрируйся: vk.cc/ahjf6O"
23.01.2020,"От физика до лирика один шаг! 

Вячеслав Ковалев выучился в ИТМО на инженера, но не бросил увлечение музыкой. Почитайте его интервью о том, как учеба в университете дала толчок его музыкальной карьере."
